delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
0.4,1000,exp,0,0,0,10,26.639698500046507,27.60958610009402,27.60958610009402,27.642790700076148,space,0.5392083001788706,28.57552751000039,28.88256120006554,28.88256120006554,28.88256120006554,28.88256120006554,400,1,[3.3309612998273224],[3.3309747998137027],670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,1000,exp,0,1,1,9,32.20398720004596,33.20848580007441,33.20848580007441,33.20848580007441,space,3.36875530006364,36.7074135100469,,37.00789760006592,37.00789760006592,37.00789760006592,"200
",2,"[3.3309612998273224, 4.631848699878901]","[3.3309747998137027, 4.631852000020444]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,1000,exp,0,2,2,6,41.639643399976194,42.64000270003453,42.64000270003453,42.64000270003453,space,1.886542099993676,44.65563740986399,,44.95888020005077,44.95888020005077,44.95888020005077,150,3,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805]","[3.3309747998137027, 4.631852000020444, 2.086968099931255]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.4,400,unexp,0,3,3,1,47.0330620999448,48.039209600072354,48.039209600072354,48.039209600072354,space,1.0574296000413597,49.521953109977765,,49.82189609995112,49.82189609995112,49.82189609995112,"600
",4,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,1000,exp,0,4,4,5,52.62083779997192,53.621040999889374,53.621040999889374,53.621040999889374,space,2.1327864001505077,56.470496310014276,,56.77067200001329,56.77067200001329,56.77067200001329,450,5,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,1000,exp,0,5,5,11,68.71579860011116,69.71754950005561,69.71754950005561,69.71754950005561,space,0.576211899984628,71.0175035100896,,71.31774939992465,71.31774939992465,71.31774939992465,590,6,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,1000,exp,0,6,6,8,76.8495791000314,77.84981840010732,77.84981840010732,77.84981840010732,space,0.41408450016751885,78.98267280994915,,79.28702920000069,79.28702920000069,79.28702920000069,"900
",7,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,400,unexp,0,7,7,0,84.40444070007652,85.3979440999683,85.3979440999683,85.41460609994829,space,3.9226739001460373,89.44705071006902,,89.74741770001128,89.74741770001128,89.74741770001128,"390
",8,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.4,1000,exp,0,8,8,4,92.06334410002455,93.06329270009883,93.06329270009883,93.06329270009883,space,0.5831726999022067,94.06295041004196,94.36314600007609,94.36314600007609,94.36314600007609,94.36314600007609,469,9,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.1,1000,exp,0,9,9,3,98.6137502999045,99.6116174000781,99.6116174000781,99.62847579992376,space,3.795775200240314,103.52775830994361,103.82819820009172,103.82819820009172,103.82819820009172,103.82819820009172,200,10,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.4,1000,exp,0,10,10,7,106.66695569991134,107.66044949996285,107.66044949996285,107.6770305999089,space,3.4633925000671297,111.54304530993105,,111.842973300023,111.842973300023,111.842973300023,500,11,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
0.7,400,unexp,0,11,11,2,114.64204340009019,115.6423339000903,115.6423339000903,115.6423339000903,space,0.7045032999012619,117.0748680099845,117.37541850004345,117.37541850004345,117.37541850004345,117.37541850004345,466,12,"[3.3309612998273224, 4.631848699878901, 2.0869653997942805, 2.801935800118372, 11.952212899923325, 5.5300185000523925, 5.123816299950704, 2.311259899986908, 4.2535249998327345, 2.8420034998562187, 2.800177700119093, 3.1584111999254674]","[3.3309747998137027, 4.631852000020444, 2.086968099931255, 2.8019467000849545, 11.952224700013176, 5.5300247999839485, 5.123825999908149, 2.3112669000402093, 4.253537899814546, 2.8420155998319387, 2.80018649995327, 3.15842380002141]",670502,001,2022-11-04_15h22.52.666,untitled,2022.2.2,60.02058712031989,
